pathway,year,sector,score,display_unit,activity_name,reference_product,activity_unit,location,relevance,method,package_sha256
SSP2-NPi,2025,Electricity,0.05168426306051962,kg CO2-eq / kWh,"market group for electricity, medium voltage","electricity, medium voltage",kilowatt hour,ENC,"DAC fans, compression and heat pumps",IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,cfe68ecd5570e74237fe54e13e4f4f5a7269fc0eee30beb6c1b547166a910263
SSP2-NPi,2025,District heat,0.04154593859047977,kg CO2-eq / MJ,"market for heat, district or industrial","heat, district or industrial",megajoule,ENC,BECCS no-retrofit heat replacement in every model year,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,cfe68ecd5570e74237fe54e13e4f4f5a7269fc0eee30beb6c1b547166a910263
SSP2-NPi,2025,Cement,0.8391242785811559,kg CO2-eq / kg,"cement production, Portland","cement, Portland",kilogram,ENC,capture plants and storage infrastructure,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,cfe68ecd5570e74237fe54e13e4f4f5a7269fc0eee30beb6c1b547166a910263
SSP2-NPi,2025,Steel,1.8208573977631302,kg CO2-eq / kg,"market for steel, low-alloyed","steel, low-alloyed",kilogram,ENC,"contactors, compressors and pipelines",IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,cfe68ecd5570e74237fe54e13e4f4f5a7269fc0eee30beb6c1b547166a910263
SSP2-NPi,2030,Electricity,0.04583874722061848,kg CO2-eq / kWh,"market group for electricity, medium voltage","electricity, medium voltage",kilowatt hour,ENC,"DAC fans, compression and heat pumps",IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,cfe68ecd5570e74237fe54e13e4f4f5a7269fc0eee30beb6c1b547166a910263
SSP2-NPi,2030,District heat,0.03806235013235275,kg CO2-eq / MJ,"market for heat, district or industrial","heat, district or industrial",megajoule,ENC,BECCS no-retrofit heat replacement in every model year,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,cfe68ecd5570e74237fe54e13e4f4f5a7269fc0eee30beb6c1b547166a910263
SSP2-NPi,2030,Cement,0.8152315416077046,kg CO2-eq / kg,"cement production, Portland","cement, Portland",kilogram,ENC,capture plants and storage infrastructure,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,cfe68ecd5570e74237fe54e13e4f4f5a7269fc0eee30beb6c1b547166a910263
SSP2-NPi,2030,Steel,1.711242439068747,kg CO2-eq / kg,"market for steel, low-alloyed","steel, low-alloyed",kilogram,ENC,"contactors, compressors and pipelines",IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,cfe68ecd5570e74237fe54e13e4f4f5a7269fc0eee30beb6c1b547166a910263
SSP2-NPi,2050,Electricity,0.025126958952579975,kg CO2-eq / kWh,"market group for electricity, medium voltage","electricity, medium voltage",kilowatt hour,ENC,"DAC fans, compression and heat pumps",IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,cfe68ecd5570e74237fe54e13e4f4f5a7269fc0eee30beb6c1b547166a910263
SSP2-NPi,2050,District heat,0.029781572792067806,kg CO2-eq / MJ,"market for heat, district or industrial","heat, district or industrial",megajoule,ENC,BECCS no-retrofit heat replacement in every model year,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,cfe68ecd5570e74237fe54e13e4f4f5a7269fc0eee30beb6c1b547166a910263
SSP2-NPi,2050,Cement,0.6981045071123966,kg CO2-eq / kg,"cement production, Portland","cement, Portland",kilogram,ENC,capture plants and storage infrastructure,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,cfe68ecd5570e74237fe54e13e4f4f5a7269fc0eee30beb6c1b547166a910263
SSP2-NPi,2050,Steel,1.6480026278978124,kg CO2-eq / kg,"market for steel, low-alloyed","steel, low-alloyed",kilogram,ENC,"contactors, compressors and pipelines",IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,cfe68ecd5570e74237fe54e13e4f4f5a7269fc0eee30beb6c1b547166a910263
